"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAL001C",158.892361998315,0.445003029562614,0.189299146160115,2.35079258723237,0.018733473001075,0.0479567248248404
"YAL002W",73.4301009273973,0.0238548600770985,0.249499185477452,0.0956109737650997,0.923829549328314,0.950475410250218
"YAL003W",327.85718839881,1.14474848979574,0.190217671544511,6.01809748011699,1.76478913500555e-09,2.82603464441614e-08
"YAL005C",3103.40574073847,-1.12568196306773,0.149992466261362,-7.50492335465855,6.14645533857486e-14,1.98991491586361e-12
"YAL007C",67.4093949250865,0.907595919523555,0.243406300071978,3.72872813585832,0.000192448635798288,0.00100739589055396
"YAL008W",60.3796772992389,0.118403446457416,0.258632941214681,0.457804972179217,0.647092563274839,0.753608844826533
"YAL009W",28.1708792371456,1.21929731745779,0.377988236911397,3.22575466215792,0.00125641005674992,0.00514040845333742
"YAL010C",20.1230298359024,1.10907425915539,0.430673075819587,2.5752115036325,0.010017880678339,0.0287787772451669
"YAL011W",57.0997404370781,-1.3371030663251,0.470674432220847,-2.84082366661828,0.00449971853180732,0.0148420948471629
"YAL012W",92.7842655065105,-0.0191349150464691,0.225766756247324,-0.0847552375049721,0.932455980728477,0.956212821001814
"YAL013W",41.4408505005889,-0.271962138819175,0.336255025460633,-0.808797246811749,0.41863178012682,0.553191995167584
"YAL014C",22.8506231397618,0.417708967607411,0.414158667187809,1.00857231950187,0.313179788060981,0.448033620912408
"YAL015C",24.9451767775974,-0.0163136522377837,0.401480315645749,-0.0406337536413075,0.967587874854562,0.978396286151175
"YAL016W",279.161984255866,0.542420025805747,0.210729107015116,2.57401568055256,0.0100525717171309,0.0288315694361815
"YAL017W",391.459904610727,0.0784831444054353,0.180352696002212,0.435164797339502,0.663442812614894,0.765864980824931
"YAL018C",1.85725845512146,-0.706085807642773,1.13214543141824,-0.623670588643596,0.532843942258674,0.658128004154038
"YAL019W",110.457601424012,0.803712534452007,0.232277034680407,3.46014635307293,0.000539881871750713,0.00246315126043728
"YAL020C",17.8829794133973,1.93697065578508,0.604151236826877,3.20610227657305,0.00134546157253398,0.00544491480134846
"YAL021C",87.4690177617197,1.46933304672434,0.36935087029774,3.97814968065431,6.94536464221142e-05,0.000413322049686848
"YAL022C",37.4391298197414,0.853523254900807,0.386866488326612,2.20624758322365,0.0273666692706137,0.0651804876753085
"YAL023C",171.330606746875,0.623390966599037,0.218042621860528,2.85903261151295,0.00424935097429645,0.0141614652272996
"YAL024C",45.5073719941967,0.779853776251499,0.324948843463089,2.39992784076513,0.0163983040734059,0.043070854217495
"YAL025C",36.7276908825737,1.18577833990571,0.385999178180052,3.07197115158777,0.0021265027569533,0.00799720765351693
"YAL026C",93.7072977566978,1.07898078580758,0.280467648969403,3.84707751418878,0.00011953515951263,0.000664245284717104
"YAL027W",24.7517968034468,-0.180770044329072,0.37439932903632,-0.482826838376987,0.629218692810116,0.740030750852885
"YAL028W",20.6354171870688,-1.6791788598664,0.461216722436619,-3.6407588410829,0.000271835666407962,0.00136421656680053
