"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0046032","ADP catabolic process",30,0.801259645392153,2.68805559912309,1e-10,6.02142857142857e-09,4.59774436090226e-09,614,"tags=67%, list=10%, signal=60%","YJL052W/YCR012W/YHR174W/YKL060C/YAL038W/YKL152C/YGL253W/YGR254W/YPL075W/YOL136C/YBR196C/YDR050C/YJR009C/YLR446W/YDL021W/YOR344C/YGR240C/YOL056W/YGR192C/YOR347C"
"GO:0009166","nucleotide catabolic process",39,0.755699662190743,2.66955492461076,1e-10,6.02142857142857e-09,4.59774436090226e-09,614,"tags=56%, list=10%, signal=51%","YJL052W/YCR012W/YHR174W/YKL060C/YAL038W/YKL152C/YGL253W/YGR254W/YPL075W/YOL136C/YBR196C/YDR050C/YJR009C/YHR202W/YLR446W/YDL021W/YOR344C/YGR240C/YER005W/YOL056W/YGR192C/YOR347C"
"GO:0046434","organophosphate catabolic process",63,0.684246285477986,2.6470763739897,1e-10,6.02142857142857e-09,4.59774436090226e-09,800,"tags=51%, list=13%, signal=44%","YJL052W/YCR012W/YHR174W/YKL060C/YAL038W/YKL152C/YGL253W/YGR254W/YPL075W/YOL136C/YBR196C/YKR031C/YDR050C/YJR009C/YHR202W/YLR446W/YDL021W/YPL110C/YOR344C/YCR068W/YPL206C/YGR240C/YHR046C/YGL101W/YER005W/YOL056W/YBR242W/YGR192C/YOR347C/YMR205C/YOL059W/YDR481C"
"GO:1901292","nucleoside phosphate catabolic process",47,0.718381500108474,2.61204786355034,1e-10,6.02142857142857e-09,4.59774436090226e-09,614,"tags=51%, list=10%, signal=46%","YJL052W/YCR012W/YHR174W/YKL060C/YAL038W/YKL152C/YGL253W/YGR254W/YPL075W/YOL136C/YBR196C/YDR050C/YJR009C/YHR202W/YLR446W/YDL021W/YOR344C/YGR240C/YGL101W/YER005W/YOL056W/YBR242W/YGR192C/YOR347C"
"GO:0032543","mitochondrial translation",135,-0.618410762675529,-2.53148650437025,1e-10,6.02142857142857e-09,4.59774436090226e-09,1511,"tags=62%, list=25%, signal=48%","YJL131C/YBR146W/YOR150W/YNR045W/YPL183W-A/YDR494W/YNL306W/YGR220C/YLR069C/YBL090W/YBR251W/YNR036C/YBR185C/YPR047W/YDR336W/YHR038W/YPL173W/YOL114C/YMR097C/YGR222W/YDR462W/YDR115W/YHR059W/YHR147C/YGL068W/YLR312W-A/YCR046C/YNL284C/YML025C/YEL050C/YDR041W/YMR225C/YDR194C/YDR337W/YKL170W/YKL003C/YNL185C/YDR197W/YNR037C/YCR071C/YMR158W/YOR187W/YER050C/YDR237W/YPR100W/YBR282W/YLR203C/YDR116C/YNL081C/YNL122C/YCR003W/YJR101W/YGR215W/YGR076C/YBR120C/YOR158W/YPL013C/YGR084C/YIL051C/YMR286W/YJL062W-A/YNL252C/YKR085C/YPR166C/YJL063C/YMR193W/YDL045W-A/YJR113C/YBR122C/YBR268W/YJL096W/YDL202W/YBL038W/YML129C/YPL118W/YOL027C/YLR204W/YLR439W/YMR188C/YKL138C/YDR405W/YNR022C/YML009C/YJL102W"
"GO:0032787","monocarboxylic acid metabolic process",174,0.515286018082785,2.37954018425333,1e-10,6.02142857142857e-09,4.59774436090226e-09,614,"tags=34%, list=10%, signal=32%","YJL052W/YGL055W/YCR012W/YPL095C/YHR174W/YKL060C/YAL038W/YOL002C/YHR183W/YKL152C/YGL253W/YCL018W/YGR254W/YMR246W/YIR031C/YLR134W/YMR170C/YPL075W/YJL196C/YOL136C/YBR196C/YKL182W/YLR231C/YDR050C/YFR055W/YJR009C/YEL071W/YMR272C/YML054C/YLR044C/YIR033W/YGL205W/YPL231W/YOR391C/YLR446W/YHR067W/YKR009C/YDL021W/YOR344C/YMR207C/YPL280W/YEL020C/YOR363C/YLR153C/YGR240C/YIR023W/YNR016C/YJR019C/YDL015C/YER010C/YGR256W/YOR100C/YIL009W/YBR006W/YPR128C/YOL056W/YER061C/YOR040W/YGR192C/YOR347C"
"GO:0007005","mitochondrion organization",205,-0.548907780357015,-2.36777963143472,1e-10,6.02142857142857e-09,4.59774436090226e-09,946,"tags=40%, list=16%, signal=34%","YMR244C-A/YMR302C/YOR211C/YLL001W/YNR018W/YPR140W/YBL022C/YLR059C/YLR168C/YGR235C/YJR080C/YGR181W/YDR493W/YJR144W/YEL012W/YER058W/YIL156W-B/YBR091C/YMR072W/YGL191W/YEL059C-A/YPR100W/YPR020W/YLR203C/YIR021W/YER154W/YIL098C/YNL138W/YBR120C/YDR219C/YGL219C/YDL126C/YPR133W-A/YKL053C-A/YMR012W/YLR099W-A/YPL063W/YJL062W-A/YKL137W/YLR295C/YFL016C/YKR016W/YFR011C/YBR262C/YBR024W/YIR024C/YLR259C/YDR296W/YBL059C-A/YNL121C/YML129C/YJR135W-A/YBR269C/YJR034W/YPL189C-A/YOL027C/YDR231C/YEL020W-A/YLR218C/YML091C/YJR120W/YDR512C/YDR079W/YIL065C/YDR511W/YNL070W/YDR379C-A/YFR004W/YLL009C/YCL057C-A/YNL055C/YHR005C-A/YDR322C-A/YOR045W/YJL102W/YML081C-A/YDR529C/YDL059C/YDR258C/YHL021C/YMR002W"
"GO:0008610","lipid biosynthetic process",234,0.470010809105549,2.25209571459555,1e-10,6.02142857142857e-09,4.59774436090226e-09,1391,"tags=47%, list=23%, signal=38%","YGL055W/YPL095C/YGR060W/YMR015C/YHR007C/YML075C/YLR056W/YJL196C/YGR157W/YGR175C/YKL182W/YNR043W/YGL001C/YKR031C/YHR072W/YJR066W/YNL111C/YMR272C/YGR143W/YIR033W/YPL028W/YPL231W/YER043C/YNL130C/YLR100W/YHR067W/YGL139W/YHR205W/YCL052C/YKR070W/YMR207C/YKL008C/YCR017C/YNR016C/YDR123C/YBR029C/YDL015C/YMR202W/YHR046C/YLR450W/YGL012W/YGR149W/YOR171C/YGL142C/YLR189C/YLR133W/YLR240W/YHR190W/YNL169C/YGR036C/YAL053W/YER061C/YPL031C/YMR208W/YNL264C/YHR123W/YDR017C/YMR013C/YIL002C/YOR109W/YNL054W/YBR026C/YJL167W/YMR220W/YLR347C/YAL009W/YML126C/YCR044C/YLL031C/YHL020C/YPL221W/YNL280C/YOR175C/YDR072C/YGR046W/YLR386W/YDR434W/YIL039W/YGR038W/YLR459W/YLR305C/YFL025C/YOR221C/YBR042C/YER125W/YLR228C/YLR088W/YBR159W/YBR265W/YDR147W/YML008C/YJL153C/YOR311C/YER093C/YPL175W/YOR149C/YGR007W/YCL004W/YHL003C/YJL062W/YNL156C/YKL055C/YDR287W/YNR041C/YNL267W/YML059C/YOR245C/YJL134W/YDR319C/YPL076W"
"GO:0006629","lipid metabolic process",355,0.448696105587837,2.23952728232386,1e-10,6.02142857142857e-09,4.59774436090226e-09,1442,"tags=46%, list=24%, signal=37%","YGL055W/YPL095C/YGR060W/YOL002C/YMR015C/YHR007C/YML075C/YMR246W/YLR056W/YJL196C/YGR157W/YGR175C/YKL182W/YNR043W/YGL001C/YKR031C/YHR072W/YPL006W/YJR066W/YNL111C/YMR272C/YGR143W/YIR033W/YPL028W/YGL205W/YPL231W/YER043C/YNL130C/YLR100W/YHR067W/YKR009C/YGL139W/YHR205W/YPL110C/YCL052C/YCR068W/YPL206C/YGR233C/YKR070W/YMR207C/YKL008C/YPR147C/YCR017C/YEL020C/YHR001W/YOR363C/YOR093C/YNL087W/YNR016C/YJR019C/YDR123C/YBR029C/YDL015C/YMR202W/YKL212W/YHR046C/YLR450W/YOR100C/YGL012W/YGR149W/YDL237W/YOR171C/YIL009W/YGL142C/YGL144C/YLR189C/YDR284C/YLR133W/YLR240W/YHR190W/YER005W/YNL169C/YGR036C/YPR128C/YAL053W/YER061C/YPL031C/YMR208W/YNL264C/YHR123W/YDR017C/YMR013C/YKR019C/YBR041W/YIL002C/YOR109W/YNL054W/YBR026C/YNR019W/YJL167W/YMR220W/YJR107W/YLR347C/YAL009W/YML126C/YCR044C/YLL031C/YHL020C/YPL221W/YNL280C/YJL083W/YOR175C/YDR072C/YCR048W/YAL051W/YGR046W/YLR386W/YDR434W/YBR222C/YIL039W/YGR038W/YLR459W/YLR305C/YFL025C/YOR221C/YBR042C/YER125W/YDR275W/YLR228C/YMR160W/YPL103C/YLR088W/YLL012W/YBR159W/YBR265W/YDR147W/YKL051W/YML008C/YJL153C/YOR311C/YNL009W/YER093C/YOR081C/YLR020C/YPL175W/YOL065C/YMR008C/YOR149C/YGR007W/YCL004W/YHL003C/YJL062W/YNL156C/YKL055C/YDR287W/YNR041C/YPL268W/YNL267W/YER015W/YLR284C/YML059C/YDL109C/YJR110W/YOR245C/YJL134W/YDR319C/YPL076W/YPL145C/YJR013W/YGR170W/YNL202W/YNL106C"
"GO:0140053","mitochondrial gene expression",166,-0.527937489865473,-2.20218313371002,1e-10,6.02142857142857e-09,4.59774436090226e-09,1484,"tags=52%, list=25%, signal=40%","YBR146W/YOR150W/YNR045W/YPL183W-A/YDR494W/YNL306W/YGR220C/YLR069C/YBL090W/YBR251W/YNR036C/YBR185C/YPR047W/YDR336W/YHR038W/YPL173W/YOL114C/YMR097C/YGR222W/YDR462W/YDR115W/YHR059W/YHR147C/YGL068W/YLR312W-A/YCR046C/YNL284C/YML025C/YEL050C/YDR041W/YMR225C/YDR194C/YDR337W/YKL170W/YKL003C/YNL185C/YDR197W/YNR037C/YCR071C/YMR158W/YOR187W/YER050C/YDR237W/YPR100W/YBR282W/YLR203C/YIR021W/YDR116C/YNL081C/YNL122C/YCR003W/YJR101W/YGR215W/YGR076C/YBR120C/YOR158W/YPL013C/YGR084C/YIL051C/YMR286W/YJL062W-A/YNL252C/YKR085C/YPR166C/YJL063C/YMR193W/YDL045W-A/YJR113C/YBR122C/YBR268W/YJL096W/YDL202W/YBL038W/YML129C/YPL118W/YOL027C/YLR204W/YLR439W/YMR030W/YML091C/YMR188C/YKL138C/YDR405W/YNR022C/YML009C/YJL102W"
"GO:0006412","translation",464,-0.467427293877214,-2.17816640267466,1e-10,6.02142857142857e-09,4.59774436090226e-09,1454,"tags=44%, list=24%, signal=36%","YNL301C/YKR023W/YNR045W/YPL183W-A/YNL091W/YNCL0012C/YBL032W/YPL143W/YGL076C/YDR494W/YNL306W/YHR015W/YGL110C/YDR025W/YGR220C/YNL178W/YLR069C/YDL160C/YBL090W/YBR251W/YNL005C/YML073C/YHL015W/YNR036C/YNL096C/YDL061C/YAL035W/YGL073W/YOR369C/YOL120C/YIL137C/YBR185C/YPL079W/YOR293W/YKL006W/YDR064W/YPR047W/YDR336W/YMR143W/YHR038W/YPL173W/YOL114C/YDL083C/YMR097C/YGR222W/YDR462W/YLL013C/YDR115W/YNL175C/YHR059W/YNL001W/YLR075W/YHR147C/YDR477W/YGL068W/YFR031C-A/YGL049C/YOL039W/YLR312W-A/YCR046C/YNL284C/YBL092W/YGR027C/YML025C/YFR001W/YNL302C/YDL191W/YDR471W/YER117W/YEL050C/YGL031C/YDR041W/YMR225C/YLR344W/YLR340W/YGR083C/YDR194C/YNL016W/YDR337W/YDR515W/YKL170W/YKL003C/YOL121C/YNL185C/YDR197W/YNR037C/YKR094C/YDL213C/YCR071C/YLR061W/YMR158W/YOR187W/YPL048W/YER056C-A/YNCL0014C/YLR027C/YPL184C/YDL136W/YGR085C/YNCL0018W/YER050C/YHR141C/YDR237W/YDR382W/YGR185C/YJL189W/YPR100W/YBR282W/YLR203C/YOR167C/YDR116C/YNL081C/YPL009C/YNL122C/YCR003W/YJR101W/YGR215W/YGR076C/YBR120C/YOR158W/YPL013C/YER074W/YMR121C/YDL081C/YGR084C/YJL190C/YGR169C-A/YIL051C/YMR286W/YPR132W/YDR429C/YLR325C/YJL140W/YJR047C/YMR230W/YJL062W-A/YNL252C/YKR085C/YPR166C/YJL063C/YMR193W/YDL045W-A/YNL255C/YGL147C/YJR113C/YHR010W/YPR129W/YBR122C/YBR268W/YJL096W/YLR167W/YLL018C/YLR287C-A/YPL249C-A/YDL202W/YJL136C/YJR014W/YBL038W/YGL173C/YBR189W/YLR185W/YGL189C/YML129C/YGL222C/YNL244C/YKL204W/YDL133C-A/YDL075W/YPL118W/YLR388W/YIL052C/YOL027C/YLR262C-A/YGR148C/YLR204W/YLR439W/YDR447C/YDL130W/YPL237W/YML091C/YHL034C/YBR101C/YLR192C/YMR188C/YGR285C/YKL138C/YER131W/YDR405W/YNL007C/YNR022C/YOR182C/YAL005C/YNL014W/YFR032C-A/YML009C/YJR094W-A/YNCL0027W/YDL184C/YDR500C/YMR194W/YJL102W/YPR043W/YDR432W"
