"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAL001C",158.892361998315,0.450992507071055,0.176516921470376,2.55495339095148,0.0106202017779376,0.0315848936551044
"YAL002W",73.4301009273973,1.2188315974974,0.224430583533544,5.43077319635997,5.61104090464747e-08,6.69839091562825e-07
"YAL003W",327.85718839881,-0.228228434326633,0.182758967506341,-1.24879472367731,0.211740164295431,0.345855815384667
"YAL005C",3103.40574073847,-0.228247208687021,0.150469452223832,-1.51690064204852,0.129291771501788,0.237310077294767
"YAL007C",67.4093949250865,-1.83315311394613,0.25420819245611,-7.21122752274255,5.5449713459572e-13,1.41765640806296e-11
"YAL008W",60.3796772992389,0.487457640717247,0.240544505453223,2.02647588976851,0.0427160409993456,0.0994759406697035
"YAL009W",28.1708792371456,0.155117772396299,0.315968464402751,0.490928019318338,0.623477358784618,0.751528657685142
"YAL010C",20.1230298359024,-0.551457540992436,0.39053529930476,-1.41205556059632,0.157933602289265,0.277279831664354
"YAL011W",57.0997404370781,0.100165248695714,0.47735062543789,0.209835796494096,0.833795833413082,0.902256454067526
"YAL012W",92.7842655065105,-2.64606255988935,0.27352980501358,-9.67376319285565,3.89775895106331e-22,2.49666129800904e-20
"YAL013W",41.4408505005889,-0.436985042964154,0.340694058629447,-1.28263182728243,0.199621094148897,0.330960995782071
"YAL014C",22.8506231397618,-0.296697823675956,0.396179975872606,-0.748896566572969,0.453919549903079,0.60404122851724
"YAL015C",24.9451767775974,-0.476616799740517,0.402013185179856,-1.18557504408042,0.235790162507367,0.375762974332902
"YAL016W",279.161984255866,0.138479938281359,0.20512028530182,0.675115764769903,0.499602218480173,0.6436335847864
"YAL017W",391.459904610727,0.876302292515277,0.175103426939672,5.00448396602305,5.60118736942743e-07,5.45200541824824e-06
"YAL018C",1.85725845512146,-2.64606181044697,1.55121842499464,-1.70579575887652,0.0880461130459212,0.176529676290349
"YAL019W",110.457601424012,-0.117143591898534,0.218409150583859,-0.536349285665833,0.591717174146805,0.723196390314427
"YAL020C",17.8829794133973,0.0220131429785911,0.499444657011464,0.0440752397078618,0.96484442945041,0.985771539460483
"YAL021C",87.4690177617197,0.382411202307703,0.341807244795046,1.11879197451477,0.263228896285808,0.40696533910082
"YAL022C",37.4391298197414,0.313279431691309,0.350750963254231,0.893167701621499,0.371767371711999,0.521870765211509
"YAL023C",171.330606746875,-0.907743939904709,0.216391715558333,-4.19491077818091,2.72979018935062e-05,0.000182917437097431
"YAL024C",45.5073719941967,-0.323951710303751,0.30564267455639,-1.05990340116587,0.289188548180369,0.435354101973833
"YAL025C",36.7276908825737,-1.14700721799655,0.372886264905856,-3.07602431611725,0.00209780736308523,0.00800553392818622
"YAL026C",93.7072977566978,0.243984011330509,0.257795061073442,0.946426243833281,0.343931225008489,0.493805328362394
"YAL027W",24.7517968034468,0.469220253141992,0.354299471519381,1.32436057872111,0.185383320337846,0.313373563919566
"YAL028W",20.6354171870688,0.98674682135397,0.465953422755471,2.11769411525883,0.0342009815704178,0.082987880739299
"YAL029C",194.806970462304,0.053554909114836,0.200069361182481,0.267681711973824,0.788944327991229,0.87032247441551
"YAL030W",86.5743565689405,0.22509312773661,0.217902372810544,1.03299989271947,0.301603948862925,0.449275999844072
"YAL031C",88.0978600570687,0.869430212125878,0.243387304575217,3.5722085572347,0.00035398332524834,0.00169780891183926
"YAL032C",38.3191394742661,0.107283041656606,0.275496343342751,0.389417298084183,0.696967477926862,0.805827897480789
"YAL033W",17.9874179863306,-0.369842648236453,0.387325430805354,-0.954862807400615,0.339647080345512,0.489660614137999
"YAL034C",207.839920557578,0.669340008897066,0.255206354963589,2.62274036629128,0.00872257153740474,0.0268667831687281
"YAL034W-A",11.1249776578451,-0.301985087424117,0.463021773332261,-0.652204938983322,0.514268974222715,0.656136277456567
"YAL035W",396.105742260465,-0.593725522382241,0.290763716127162,-2.04195189926168,0.041156302890162,0.0963711070427261
"YAL036C",34.091603058636,-0.726781117620305,0.296763512246272,-2.44902451827426,0.0143243697021352,0.0406859831129941
"YAL037C-A",0.696589725555346,0.604857214165165,1.9286402290287,0.313618478480967,0.753810823333372,0.844032189204074
"YAL037W",13.578827003092,1.76055572095225,0.514606454468904,3.4211691393751,0.000623525411043625,0.00278436347345343
"YAL038W",2226.08392485605,1.28019624715197,0.172200020214197,7.43435596325456,1.05078655470755e-13,2.91141186343855e-12
"YAL039C",72.1756011017993,-0.0566171176372531,0.234521503053278,-0.241415464680827,0.809233128078126,0.885001238105636
"YAL040C",47.5474179174826,0.387686122809314,0.310611755503162,1.24813731592772,0.211980774786295,0.34605905053493
"YAL041W",57.2917204646422,0.442260906376561,0.263398444657041,1.67905663585982,0.0931410064317491,0.184332549938183
"YAL042W",69.5803688660831,0.353626253365392,0.252754372712511,1.39909054617075,0.161785832314238,0.282378612099595
"YAL043C",30.4743407681952,-0.226332707927053,0.382248593248468,-0.592108674628747,0.553777818462847,0.691728761707524
"YAL044C",127.981575276257,-0.42919411967535,0.201468099504447,-2.13033289503918,0.0331441396074321,0.0810174967753276
"YAL044W-A",47.374593859,-0.0193742716384159,0.319352604373433,-0.060667335644336,0.951624146124446,0.979748537584398
"YAL046C",27.302160751425,-1.35044626279001,0.379420420025238,-3.5592345364548,0.000371937271994885,0.00177108739350402
"YAL047C",21.03835756474,0.151901984957578,0.463232570506319,0.327917324102549,0.742974174609769,0.836653527060566
"YAL048C",31.5161278014589,0.814487227168675,0.335972076368788,2.42427060002044,0.0153391709937037,0.0431423237060874
"YAL049C",240.793219216803,-0.321489233433588,0.185379531295734,-1.73422184847755,0.0828787277792187,0.168731572584008
"YAL051W",106.680464818228,0.745810303868827,0.209384179514424,3.5619228998027,0.000368148508820832,0.00175585321620952
"YAL053W",172.266775762478,0.169678350430434,0.253928531385921,0.668213018459734,0.503997626563603,0.646771620301462
"YAL054C",111.825958248334,-0.0584840283316322,0.267656732685641,-0.218503856580813,0.827036553797137,0.89738738633325
"YAL055W",39.7304465562562,-0.571888841901304,0.460912208337937,-1.24077607743035,0.214688480954004,0.349330587556133
"YAL056W",219.946256226679,0.873238393838465,0.235686567034048,3.70508342850237,0.000211321165933238,0.00108802090359922
"YAL058W",21.2119412068763,0.22183342254388,0.472862738280889,0.469128574922955,0.638977735213883,0.763928009467618
"YAL059W",26.1679585856523,-0.161766921809825,0.36728690399352,-0.440437489196943,0.659620277628594,0.780386956643042
"YAL060W",300.214250770858,2.31852380356432,0.253959157588608,9.12951446830725,6.88071876882313e-20,3.83069548653079e-18
"YAL061W",164.09459884839,1.70303379641353,0.198898356485493,8.56233217059156,1.10606981728353e-17,5.06835223196769e-16
"YAL062W",69.7362622196485,-0.987638168366948,0.286748706802096,-3.44426372269076,0.000572616875194555,0.00259990756519357
"YAL063C",34.8157183309651,0.641152390798146,0.311090616897641,2.06098273613025,0.0393046871278433,0.0928851507434454
"YAL063C-A",0,NA,NA,NA,NA,NA
"YAL064C-A",0,NA,NA,NA,NA,NA
"YAL064W",0,NA,NA,NA,NA,NA
"YAL064W-B",0,NA,NA,NA,NA,NA
"YAL065C",4.3772383107677,-1.72655627550584,0.872920457610407,-1.97790790724763,0.0479390967644495,0.109373113529615
"YAL067C",59.9808546636369,-1.45666443668653,0.264168172386832,-5.51415571196625,3.50458221461972e-08,4.32231806469766e-07
"YAL067W-A",0.187329442237166,1.77787585409693,4.04508125800532,0.439515485771384,0.660288063722083,0.780733361655168
"YAL068C",1.9571958030667,3.74521783539318,1.70060342642133,2.20228759815828,0.0276449996702375,0.0699877870954547
"YAR002C-A",108.627461546006,-1.5159703594691,0.224235610289181,-6.76061379151179,1.37408359054385e-11,2.92336283888204e-10
"YAR002W",54.5582668075768,0.0669338069381642,0.274513694086268,0.243826841356518,0.807364931205359,0.883626145463248
"YAR003W",45.4815078269843,-0.177077603970038,0.288567197966593,-0.613644257621194,0.539450430896089,0.678097956709854
"YAR007C",93.9734316788261,-0.394866458432209,0.257891314543354,-1.53113515719362,0.125735992407449,0.232900903846757
"YAR008W",28.3705380405087,-0.299866462943794,0.330342979201383,-0.907742806185052,0.364014122202343,0.514578102980388
"YAR009C",0,NA,NA,NA,NA,NA
"YAR010C",0,NA,NA,NA,NA,NA
"YAR014C",68.1891102420811,0.137894696230984,0.233762408218022,0.589892520710066,0.55526270874482,0.692857133639065
"YAR015W",114.066059663486,-0.894932307290853,0.208841966321658,-4.28521299168616,1.82564197395739e-05,0.000127346009822766
"YAR018C",11.5918479686912,-0.838014325859711,0.466068417645357,-1.79805001611883,0.0721690821006152,0.151430511473535
"YAR019C",38.3961726919223,0.77435558617931,0.277545631578216,2.79001179653259,0.00527061211592011,0.0175011351028629
"YAR020C",1.67563947294934,0.514824489718295,1.28109352907455,0.401863312891915,0.687784623889734,0.800420371139075
"YAR023C",9.75424151509636,0.667154852351478,0.51468884959716,1.29622946538214,0.194896440932752,0.324936495560146
"YAR027W",24.2043123613605,-5.9239322657707,0.887164473889142,-6.67737769052161,2.43255471569935e-11,4.97963176681134e-10
"YAR028W",2.84874846200064,-4.74972380905149,1.40008542813653,-3.3924528558041,0.000692698511062514,0.00304082905703714
"YAR029W",1.41354023425684,-3.22621818780536,1.68211667886086,-1.91795148835345,0.0551171626552408,0.121966173082195
"YAR031W",0.0745317424797995,-0.964435206812025,4.08045587181216,-0.236354769444844,0.813157390689383,0.887175563431622
"YAR033W",0.499469433836323,-2.69855068072199,2.8562961608686,-0.944772715691132,0.344774924180048,0.494659013328648
"YAR035C-A",0.709841560360109,-0.00267117812600056,2.12486141076726,-0.0012571069870557,0.998996974007934,1
"YAR035W",9.10009848928828,-2.6294014579829,0.770146473781339,-3.41415762779879,0.000639795487351266,0.00284664841233955
"YAR042W",112.833611830636,1.02527178095786,0.229040863318172,4.47637057468479,7.59226578091875e-06,5.70329473605712e-05
"YAR050W",45.3156580996834,0.456950559939251,0.311468871256402,1.46708259511137,0.142353588201651,0.25631390527595
"YAR064W",1.46850773311182,2.67567599295377,1.67747231767743,1.59506417170474,0.110697886396272,0.209912329583205
"YAR066W",4.0519918511515,-0.283723207598983,0.82560029957974,-0.343656861248001,0.731104357039478,0.829838274068255
"YAR068W",21.0612210380523,-0.632572719993566,0.366802495270175,-1.72455947860342,0.0846068913151358,0.171429677402811
"YAR071W",4.45393784859005,4.06039010027523,3.93559872091748,1.03170835956788,0.302208760104714,0.449951908008943
"YBL001C",234.441670522273,-0.406944969735074,0.218426673891355,-1.86307360033092,0.0624519118961017,0.135380654718005
"YBL002W",334.959799908222,-0.635807755834798,0.222000500784624,-2.863992439601,0.00418337996398982,0.0143728894533072
"YBL003C",479.808365082023,-0.307826502337623,0.147174606999529,-2.09157346238818,0.0364766885035486,0.087511733151687
"YBL004W",267.53999604154,0.455472432806914,0.205992525670108,2.2111114533172,0.0270281200199502,0.068806201264463
"YBL005W",58.0149378135058,0.444704172666149,0.248050148589583,1.79279946089428,0.0730049957459775,0.152861426945092
"YBL005W-A",2.80509457450918,-1.86046294783725,2.40243029149573,-0.774408712054219,0.438689133297267,0.589770067039454
"YBL006C",78.3947368175514,-0.548910024585218,0.219312676967346,-2.50286500614347,0.0123192522459186,0.0358679304149252
"YBL007C",290.400489474882,0.768513386038236,0.185882818306902,4.13439710586582,3.55887653729178e-05,0.000230939297741254
"YBL008W",52.109247730885,-0.0206093648049122,0.275772078421127,-0.0747333266040078,0.940426891011202,0.973774202981702
"YBL008W-A",1.29342644533112,1.92128705595633,1.8727329970011,1.02592684543551,0.304926067625995,0.452978699463355
"YBL009W",20.4813200519637,-0.316634483716401,0.433888695648552,-0.729759698493903,0.465537082938334,0.613812395543085
